ArchName;Param;Op;Arith;vLen;wLen
riscv;value;add;int;1;8;16;32
riscv;value;mul;int;1;8;16;32
riscv;value;sub;int;1;8;16;32
riscv;value;div;int;1;8;16;32
riscv;value;add;flt;1;32;64
riscv;value;mul;flt;1;32
riscv;value;sub;flt;1;32
riscv;value;div;flt;1;32;64
riscv;value;or;int;1;8;16;32
riscv;value;and;int;1;8;16;32
riscv;value;xor;int;1;8;16;32
riscv;value;sl;int;1;8;16;32
riscv;value;sr;int;1;8;16;32
riscv;address;add;int;1;8;16;32
riscv;address;mul;int;1;8;16;32
riscv;address;sub;int;1;8;16;32
riscv;address;div;int;1;8;16;32
riscv;address;or;int;1;8;16;32
riscv;address;and;int;1;8;16;32
riscv;address;xor;int;1;8;16;32
riscv;address;sl;int;1;16;32
riscv;address;sr;int;1;8;16;32
